Username,Password
Warrior1,Storm168
Warrior2,Alpha681
Warrior3,Max712
Warrior4,Comet980
Warrior5,Neo919
Warrior6,Blaze604
Warrior7,Nitro385
Warrior8,Neo225
Warrior9,Comet355
Warrior10,Delta145
Warrior11,Max534
Warrior12,Drift343
Warrior13,Alpha954
Warrior14,Hero578
Warrior15,Blaze823
Warrior16,Alpha453
Warrior17,Hero155
Warrior18,Blaze408
Warrior19,Zoom205
Warrior20,Drift183
Warrior21,Hero244
Warrior22,Zoom360
Warrior23,Blaze171
Warrior24,Nova429
Warrior25,Warp608
Warrior26,Hero468
Warrior27,Pixel541
Warrior28,Storm935
Warrior29,Delta993
Warrior30,Turbo821
Warrior31,Comet147
Warrior32,Drift696
Warrior33,Turbo391
Warrior34,Zoom603
Warrior35,Drift653
Warrior36,Tiger299
Warrior37,Storm963
Warrior38,Tiger950
Warrior39,Frost649
Warrior40,Delta958
Warrior41,Drift121
Warrior42,Neo961
Warrior43,Turbo372
Warrior44,Frost381
Warrior45,Rocket353
Warrior46,Rocket332
Warrior47,Sky162
Warrior48,Pixel730
Warrior49,Warp598
Warrior50,Storm243
Warrior51,Nova721
Warrior52,Turbo584
Warrior53,Pixel399
Warrior54,Frost267
Warrior55,Tiger428
Warrior56,Rocket512
Warrior57,Sky876
Warrior58,Warp531
Warrior59,Nova642
Warrior60,Alpha329
