Username,Password
Warrior 1,eaa1311e32
Warrior 2,9da8bebd31
Warrior 3,0cafa79438
Warrior 4,3b4ea807dc
Warrior 5,d42776cdfd
Warrior 6,fe2753cd2f
Warrior 7,49d327f659
Warrior 8,0786c54167
Warrior 9,b5de5982a4
Warrior 10,64e4325245
Warrior 11,1ce48c7c6e
Warrior 12,8ace416007
Warrior 13,980e226a50
Warrior 14,1aa6ec21cb
Warrior 15,39219f5804
Warrior 16,917d013053
Warrior 17,9270658e5b
Warrior 18,2caceca1bd
Warrior 19,dcea5d43eb
Warrior 20,8d23dacf13
Warrior 21,8b510240e0
Warrior 22,94e4700b87
Warrior 23,bb458e01dd
Warrior 24,de8b6beba7
Warrior 25,3f7344157b
Warrior 26,996f45bbad
Warrior 27,2bb4217a34
Warrior 28,afae8bc2ae
Warrior 29,f341b23758
Warrior 30,2cbac5b4af
Warrior 31,563d8aae69
Warrior 32,11ecf42986
Warrior 33,4de68f06a5
Warrior 34,8055630f35
Warrior 35,07888fe3f8
Warrior 36,a47380a543
Warrior 37,0a2b8d8c9f
Warrior 38,541f4a93b7
Warrior 39,2754c5eccf
Warrior 40,c5afa6daa8
Warrior 41,89bb21244b
Warrior 42,db63c8fcbe
Warrior 43,dcc7cfdcb0
Warrior 44,12cbc4d044
Warrior 45,eb1bc2e8e8
Warrior 46,cfc793693c
Warrior 47,cf0d7fd01c
Warrior 48,691332b9d3
Warrior 49,e593fc8a79
Warrior 50,a7cd615b9b
Warrior 51,5d09407c52
Warrior 52,8348034a3c
Warrior 53,8c040326a9
Warrior 54,5607cc3a75
Warrior 55,d9f3b4e55f
Warrior 56,a67b6b5dad
Warrior 57,91e2dff084
Warrior 58,289bb0f153
Warrior 59,3bef554b5f
Warrior 60,ed33c71cce
