Username,Password
Warrior1,aDuK8gmPUf
Warrior2,2*P!f$U3W#
Warrior3,$TW3uPyag!
Warrior4,AaKb54F2NW
Warrior5,kd*xuzCCTh
Warrior6,mYF6q9KMPt
Warrior7,jEN8tR@Th2
Warrior8,w79aXQFanc
Warrior9,y5gRY&vL&h
Warrior10,vp94z$DmHE
Warrior11,m43p%#WpW8
Warrior12,N58tJpMeKU
Warrior13,4KqNqb&!PQ
Warrior14,Fj2&zsQmJG
Warrior15,s7wX3*yy&B
Warrior16,@4em&GZRnB
Warrior17,AMU5Bx%h&q
Warrior18,cU^vZ%4v@Y
Warrior19,whV!LFRB$n
Warrior20,j9G!bzbp7^
Warrior21,DWQNmpa#2A
Warrior22,4Hmng2^aJR
Warrior23,6synV@nX$E
Warrior24,b@T#!q57Hp
Warrior25,R2nUVuxj9G
Warrior26,CaBCXYd9gU
Warrior27,wuRARSDyga
Warrior28,4SpR!ycMx%
Warrior29,!xE!KKJ97d
Warrior30,U6c3GwN!xp
Warrior31,X&a9D!5ARs
Warrior32,bKM@6hYY*v
Warrior33,4YUBd!@$b*
Warrior34,DaADX7t3gc
Warrior35,CdSs8jtL#W
Warrior36,sCzfrY95&N
Warrior37,NmAnjhz^fu
Warrior38,fAEz*82j%c
Warrior39,ZUZWN5e65k
Warrior40,9LG$#S#@Kg
Warrior41,&6bd#NpT^t
Warrior42,w#Vyxea$^h
Warrior43,!ydHQxb$$#
Warrior44,GmwAsMEGSU
Warrior45,Cx#JnPePR*
Warrior46,rDXFZbSm#n
Warrior47,JBeF73WweH
Warrior48,T&UXE4m4Vj
Warrior49,qEUVFr%MXU
Warrior50,8M$4HHeAEH
Warrior51,!jJvaejgF2
Warrior52,YTG4Akx#dy
Warrior53,BnUDWxUptY
Warrior54,5vFtAwAHnC
Warrior55,@gHrDVTtYh
Warrior56,*LV4^2&hBw
Warrior57,Vqv&WvM^#g
Warrior58,rUKL4rVuMH
Warrior59,4nss8@SKxD
Warrior60,n7SEn3uUq6
