Username,Password
Warrior1,pass1
Warrior2,pass2
Warrior3,pass3
Warrior4,pass4
Warrior5,pass5
Warrior6,pass6
Warrior7,pass7
Warrior8,pass8
Warrior9,pass9
Warrior10,pass10
Warrior11,pass11
Warrior12,pass12
Warrior13,pass13
Warrior14,pass14
Warrior15,pass15
Warrior16,pass16
Warrior17,pass17
Warrior18,pass18
Warrior19,pass19
Warrior20,pass20
Warrior21,pass21
Warrior22,pass22
Warrior23,pass23
Warrior24,pass24
Warrior25,pass25
Warrior26,pass26
Warrior27,pass27
Warrior28,pass28
Warrior29,pass29
Warrior30,pass30
Warrior31,pass31
Warrior32,pass32
Warrior33,pass33
Warrior34,pass34
Warrior35,pass35
Warrior36,pass36
Warrior37,pass37
Warrior38,pass38
Warrior39,pass39
Warrior40,pass40
Warrior41,pass41
Warrior42,pass42
Warrior43,pass43
Warrior44,pass44
Warrior45,pass45
Warrior46,pass46
Warrior47,pass47
Warrior48,pass48
Warrior49,pass49
Warrior50,pass50
Warrior51,pass51
Warrior52,pass52
Warrior53,pass53
Warrior54,pass54
Warrior55,pass55
Warrior56,pass56
Warrior57,pass57
Warrior58,pass58
Warrior59,pass59
Warrior60,pass60
